Results:,K = 20,K=40,K=60
C = 3,"""0.7314938805630459""","""0.7291841091581948""","""0.7290738749830423"""
C = 5,"""0.7299947605899276""","""0.7266999538607308""","""0.728462647526276"""
C = 10,"""0.7335802939898817""","""0.730651166957825""","""0.732490123601805"""
